ID,Sex,standard_length_mm,wet_weight_fish_mg,dry_weight_fish_mg,tapeworm_presence,tapeworm_intensity,wet_weight_worm_mg,dry_weight_worm_mg,fibrosis_score,percentN_fish,percentN_worm,percentC_fish,percentC_worm,percentP_fish,percentP_worm,CNmolar_fish,CNmolar_cestode,CPmolar_fish,CPmolar_cestode,NPmolar_fish,NPmolar_cestode
20.001,F (underdeveloped),36.94,485.3,84.18,yes ,1,62.4,10.56,1,12.29,7.63,47.12,43.7,3.519,1.506,1.516300133,2.265106744,11.69949374,25.34550791,7.715816604,11.18954238
20.002,M,26.58,166.8,29.41,no,0,NA,NA,0,7.15,NA,27.88,NA,3.082,NA,1.542121179,NA,7.903895498,NA,5.125340086,NA
20.003,M,34.83,400.7,73.23,no,0,NA,NA,0,11.51,NA,41.42,NA,3.544,NA,1.423201999,NA,10.21168562,NA,7.17514845,NA
20.004,F (underdeveloped),40.13,636,199.78,yes ,1,116.4,20.77,0,11.03,7.28,41.96,44.28,3.372,1.436,1.504498438,2.405514655,10.87248878,26.94653572,7.226653417,11.2019836
20.005,M,29.21,222.3,34.81,no,0,NA,NA,0,9.67,NA,37.19,NA,6.056,NA,1.52100793,NA,5.365637967,NA,3.527685727,NA
20.006,F,28.63,263.6,36.69,yes ,1,14.6,0.98,0,9.38,9.35,38.79,53.22,4.55,2.25,1.635493097,2.251101272,7.448853578,20.670536,4.554500165,9.182410516
20.007,F,34.5,522.6,70.66,yes ,1,71.9,31.68,0,10.9,8.48,38.67,45.6,5.074,1.89,1.403070354,2.126673231,6.658934817,21.08208429,4.745973571,9.91317518
20.008,M,32.68,325.5,54.07,yes ,1,24.1,1.78,0,10.3,9.53,37.45,50.43,5.84,1.806,1.437958563,2.092800554,5.602992349,24.39300726,3.896490825,11.65567699
20.009,?,38.62,669.4,109.63,yes ,1,71.5,7.57,0,9.98,9.49,41.93,46.85,2.295,2.255,1.661598514,1.952428583,15.96332027,18.1497475,9.607206636,9.295985349
20.01,?,38.11,529,90.74,no,0,NA,NA,0,10.97,NA,39.92,NA,2.934,NA,1.439181869,NA,11.88807339,NA,8.260299582,NA
